shape	dist	trans	k_eff	kryl_iter	time
0.18	0.05	0	0.651813471746	8	17.376621061
0.18	0.05	1	0.651813471746	8	16.824911291
0.18	0.1	0	0.651713846298	8	3.158726686
0.18	0.1	1	0.651713846298	8	3.221231274
0.19	0.05	0	0.651822141555	8	16.846961046
0.19	0.05	1	0.651822141555	8	16.728063059
0.19	0.1	0	0.651706003425	8	3.076575415
0.19	0.1	1	0.651706003425	8	3.233775293
0.2	0.05	0	0.651828447515	8	16.719463609
0.2	0.05	1	0.651828447515	8	16.827903736
0.2	0.1	0	0.651698590388	8	3.218640524
0.2	0.1	1	0.651698590388	8	3.111941862
0.21	0.05	0	0.651833734667	8	17.011895581
0.21	0.05	1	0.651833734667	8	17.048599474
0.21	0.1	0	0.65169115464	8	3.353927713
0.21	0.1	1	0.65169115464	8	3.311812677
0.22	0.05	0	0.651837951686	8	17.288651814
0.22	0.05	1	0.651837951686	8	17.154951926
0.22	0.1	0	0.651683313988	8	3.321006702
0.22	0.1	1	0.651683313988	8	3.323820265
0.23	0.05	0	0.651840899385	8	17.016441148
0.23	0.05	1	0.651840899385	8	17.221332209
0.23	0.1	0	0.651674771951	8	3.276044297
0.23	0.1	1	0.651674771951	8	3.283241133
0.24	0.05	0	0.651842364733	8	16.811260018
0.24	0.05	1	0.651842364733	8	17.065375144
0.24	0.1	0	0.651665314746	8	3.003948567
0.24	0.1	1	0.651665314746	8	3.270182819
0.25	0.05	0	0.651842164315	7	14.949262708
0.25	0.05	1	0.651842164315	7	15.2284858
0.25	0.1	0	0.651654802741	8	3.339344249
0.25	0.1	1	0.651654802741	8	3.308810738
0.26	0.05	0	0.651840166094	7	14.993390603
0.26	0.05	1	0.651840166094	7	15.251315274
0.26	0.1	0	0.651643160275	8	3.304059534
0.26	0.1	1	0.651643160275	8	3.29706563
0.27	0.05	0	0.65183629685	7	14.825532083
0.27	0.05	1	0.65183629685	7	14.754360486
0.27	0.1	0	0.651630364915	8	3.273395818
0.27	0.1	1	0.651630364915	8	3.325561292
0.28	0.05	0	0.651830545268	7	14.835877187
0.28	0.05	1	0.651830545268	7	14.890918033
0.28	0.1	0	0.651616437425	8	3.272399388
0.28	0.1	1	0.651616437425	8	3.310560661
0.29	0.05	0	0.651822957317	7	14.828514956
0.29	0.05	1	0.651822957317	7	14.893741347
0.29	0.1	0	0.651601432	8	3.341899362
0.29	0.1	1	0.651601432	8	3.299655813
0.3	0.05	0	0.651813626963	7	14.882499258
0.3	0.05	1	0.651813626963	7	14.93204792
0.3	0.1	0	0.651585427894	8	3.339027189
0.3	0.1	1	0.651585427894	8	3.325597667
0.4	0.05	0	0.651656427286	8	17.763882576
0.4	0.05	1	0.651656427286	8	17.212605859
0.4	0.1	0	0.651394214348	8	3.399498892
0.4	0.1	1	0.651394214348	8	3.155008609
0.5	0.05	0	0.651459468302	8	18.467472562
0.5	0.05	1	0.651459468302	8	17.527114133
0.5	0.1	0	0.651209605907	8	3.167237494
0.5	0.1	1	0.651209605907	8	3.313760449
0.6	0.05	0	0.651259751561	8	17.345106279
0.6	0.05	1	0.651259751561	8	17.116861742
0.6	0.1	0	0.651073642898	8	3.449777075
0.6	0.1	1	0.651073642898	8	3.503529492
0.7	0.05	0	0.650965903461	9	20.235045314
0.7	0.05	1	0.650965903461	9	20.687145669
0.7	0.1	0	0.650988886003	8	3.405582863
0.7	0.1	1	0.650988886003	8	3.427186938
0.8	0.05	0	0.650608800797	9	21.998942116
0.8	0.05	1	0.650608800797	9	20.213182873
0.8	0.1	0	0.650945327287	8	3.409731162
0.8	0.1	1	0.650945327287	8	3.444501631
